"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","test_icon_title_verification","test_vlc_player_android.test_cases","Sun Nov 23 18:23:10 GMT+06:00 2025","passed","Sun Nov 23 18:23:10 GMT+06:00 2025","TestVideoPage","test_video_page","",""
"","1774","test_title_verification","test_google_files_app.tests","Sun Nov 23 18:22:25 GMT+06:00 2025","passed","Sun Nov 23 18:22:27 GMT+06:00 2025","TestDownloadPage","test_download_page","",""
"","280","test_header_display_settings","test_vlc_player_android.test_cases","Sun Nov 23 18:23:24 GMT+06:00 2025","passed","Sun Nov 23 18:23:25 GMT+06:00 2025","TestVideoPage","test_video_page","",""
"","3549","test_header_root_button_functionality","test_google_files_app.tests","Sun Nov 23 18:22:42 GMT+06:00 2025","passed","Sun Nov 23 18:22:46 GMT+06:00 2025","TestDownloadPage","test_download_page","",""
"","3007","test_header_search_functionality","test_vlc_player_android.test_cases","Sun Nov 23 18:23:18 GMT+06:00 2025","passed","Sun Nov 23 18:23:21 GMT+06:00 2025","TestVideoPage","test_video_page","",""
"","209","test_navigation_elements","test_vlc_player_android.test_cases","Sun Nov 23 18:23:14 GMT+06:00 2025","passed","Sun Nov 23 18:23:14 GMT+06:00 2025","TestVideoPage","test_video_page","",""
"","3166","test_header_search_functionality","test_google_files_app.tests","Sun Nov 23 18:22:53 GMT+06:00 2025","broken","Sun Nov 23 18:22:56 GMT+06:00 2025","TestDownloadPage","test_download_page","",""
"","2150","test_more_options_accessibility","test_google_files_app.tests","Sun Nov 23 18:23:03 GMT+06:00 2025","passed","Sun Nov 23 18:23:05 GMT+06:00 2025","TestDownloadPage","test_download_page","",""
"","1940","test_header_elements","test_google_files_app.tests","Sun Nov 23 18:22:33 GMT+06:00 2025","passed","Sun Nov 23 18:22:35 GMT+06:00 2025","TestDownloadPage","test_download_page","",""
